published_name,bqs_status,canonical_stop_id,current_march_2026_match,notes
Press Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Sainik School Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Apollo Hospital,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Aacharya Vihar Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Ananda bazaar,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Nico Park,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Rotary Bhawan,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Housing Board Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Keshari talkies,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Rabindra Mandap,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
I.G. Park,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Secretariat,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
AG Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Capital Hospital,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
New Airport Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Unit 6,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Ganganagar Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Fire Station Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Vivekanand Hospital,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
CRPF Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Passport Office,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Unit-VIII Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalyani Market,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Siripur Market,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Gopabandhu Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Surya Nagar Road,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
CRPF KV,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Rental Colony Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Jagannath Vihar,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalinga Studio Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Ayurveda Hospital,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
SUM Hospital,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
CET College,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Jaydev Vatika,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Baramunda,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Khandagiri Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Aiginia,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Alugodam,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Police Academy,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
AIIMS,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalabhoomi,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Madhusudan Park,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Pokhariput,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
CIPET,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Infocity Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
DLF Cyber city,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
KIMS Hospital,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
KIIT College,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Falcon Residency,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Shishu Bhawan Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Rajmahal Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Master canteen,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Sriya Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Satya Nagar Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Satya Nagar,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Maharshi College Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Rupali Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Vani Vihar Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
Kalpana Square,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
State Museum,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
AG Colony,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
OMC,EXISTING_BQS_BASELINE,,,Awaiting comparison with the complete 16-Mar-2026 CRUT Detailed Stoppages extraction.
